timestamp,market,bank
2023-02-10 04:40:01,31.91734,30.45
2023-02-10 04:45:01,31.91734,30.45
2023-02-10 04:50:01,31.92722,30.45
2023-02-10 04:55:01,31.89264,30.45
2023-02-10 05:00:01,31.89264,30.45
2023-02-10 05:05:00,31.89264,30.45
2023-02-10 05:10:01,31.89264,30.45
2023-02-10 05:15:01,31.89264,30.45
2023-02-10 05:20:01,31.90746,30.45
2023-02-10 05:25:01,31.90746,30.45
2023-02-10 05:30:02,31.912399999999998,30.45
2023-02-10 05:35:01,31.912399999999998,30.45
2023-02-10 05:40:01,31.917340000000006,30.45
2023-02-10 05:45:01,31.917340000000006,30.45
2023-02-10 05:50:01,31.912399999999998,30.45
2023-02-10 05:55:01,31.912399999999998,30.45
2023-02-10 06:00:01,31.91734,30.45
2023-02-10 06:05:01,31.92722,30.45
2023-02-10 06:10:01,31.912399999999998,30.45
2023-02-10 06:15:01,31.902520000000006,30.45
2023-02-10 06:20:01,31.91734,30.45
2023-02-10 06:25:01,31.91734,30.45
2023-02-10 06:30:01,31.92228,30.45
2023-02-10 06:35:01,31.92228,30.45
2023-02-10 06:40:02,31.92228,30.45
2023-02-10 06:45:01,31.92722,30.45
2023-02-10 06:50:01,31.94204,30.45
2023-02-10 06:55:01,31.94698,30.45
2023-02-10 07:00:01,31.93216,30.45
2023-02-10 07:05:01,31.93216,30.45
2023-02-10 07:10:01,31.932159999999993,30.45
2023-02-10 07:15:01,31.92722,30.45
2023-02-10 07:20:01,31.92722,30.45
2023-02-10 07:25:01,31.92722,30.45
2023-02-10 07:30:01,31.92228,30.45
2023-02-10 07:35:01,31.92228,30.45
2023-02-10 07:40:01,31.93216,30.45
2023-02-10 07:45:01,31.91734,30.45
2023-02-10 07:50:01,31.91734,30.45
2023-02-10 07:55:01,31.92722,30.45
2023-02-10 08:00:01,31.93216,30.45
2023-02-10 08:05:01,31.91734,30.45
2023-02-10 08:10:01,31.92228,30.45
2023-02-10 08:15:01,31.932159999999993,30.45
2023-02-10 08:20:02,31.932159999999993,30.45
2023-02-10 08:25:01,31.932159999999993,30.45
2023-02-10 08:30:02,31.932159999999993,30.45
2023-02-10 08:35:00,31.92722,30.45
2023-02-10 08:40:01,31.9371,30.45
2023-02-10 08:45:01,31.94204,30.45
2023-02-10 08:50:01,31.94204,30.45
2023-02-10 08:55:01,31.9371,30.45
2023-02-10 09:00:02,31.93216,30.45
2023-02-10 09:05:02,31.92228,30.45
2023-02-10 09:10:01,31.92228,30.45
2023-02-10 09:15:01,31.93216,30.45
2023-02-10 09:20:00,31.92228,30.45
2023-02-10 09:25:01,31.93216,30.45
2023-02-10 09:30:01,31.92722,30.45
2023-02-10 09:35:02,31.94698,30.45
2023-02-10 09:40:01,31.94698,30.45
2023-02-10 09:45:00,31.94204,30.45
2023-02-10 09:50:00,31.951920000000005,30.45
2023-02-10 09:55:01,31.951920000000005,30.45
2023-02-10 10:00:02,31.95686,30.45
2023-02-10 10:05:01,31.95686,30.45
2023-02-10 10:10:01,31.966740000000005,30.45
2023-02-10 10:15:01,31.966740000000005,30.45
2023-02-10 10:20:01,31.966740000000005,30.45
2023-02-10 10:25:01,31.95686,30.45
2023-02-10 10:30:01,31.95686,30.45
2023-02-10 10:35:01,31.94698,30.45
2023-02-10 10:40:02,31.9371,30.45
2023-02-10 10:45:00,31.94204,30.45
2023-02-10 10:50:02,31.951920000000005,30.45
2023-02-10 10:55:01,31.9618,30.45
2023-02-10 11:00:01,31.951920000000005,30.45
2023-02-10 11:05:01,31.94204,30.45
2023-02-10 11:10:01,31.95686,30.45
2023-02-10 11:15:01,31.9618,30.45
2023-02-10 11:20:01,31.95686,30.45
2023-02-10 11:25:01,31.9618,30.45
2023-02-10 11:30:02,31.97168,30.45
2023-02-10 11:35:02,31.966740000000005,30.45
2023-02-10 11:40:01,31.951920000000005,30.45
2023-02-10 11:45:01,31.9618,30.45
2023-02-10 11:50:01,31.966740000000005,30.45
2023-02-10 11:55:01,31.951920000000005,30.45
2023-02-10 12:00:01,31.95686,30.45
2023-02-10 12:05:01,31.95686,30.45
2023-02-10 12:10:01,31.94204,30.45
2023-02-10 12:15:01,31.94204,30.45
2023-02-10 12:20:01,31.94698,30.45
2023-02-10 12:25:01,31.94204,30.45
2023-02-10 12:30:01,31.94204,30.45
2023-02-10 12:35:02,31.92722,30.45
2023-02-10 12:40:01,31.912399999999998,30.45
2023-02-10 12:45:01,31.912399999999998,30.45
2023-02-10 12:50:01,31.912399999999998,30.45
2023-02-10 12:55:01,31.90746,30.45
2023-02-10 13:00:01,31.90746,30.45
2023-02-10 13:05:01,31.90252,30.45
2023-02-10 13:10:01,31.90252,30.45
2023-02-10 13:15:01,31.90252,30.45
